Class,Name,Blue,Green,Red,InfraRed,X,Y
4,wheat,138,149,124,172,547478.8308,3859767.064
4,wheat,130,138,117,172,547460.9745,3859787.145
4,wheat,134,145,122,172,547398.7628,3859779.19
4,wheat,130,147,125,173,547497.7722,3859750.506
4,wheat,138,145,122,177,547409.0603,3859737.538
4,wheat,139,147,121,171,547318.5488,3859751.054
4,wheat,134,144,121,170,547503.5648,3859735.934
4,wheat,129,136,118,178,547428.0611,3859815.157
4,wheat,133,143,122,172,547460.1274,3859741.683
4,wheat,132,140,119,176,547460.2007,3859782.539
4,wheat,132,143,119,172,547397.1779,3859782.262
4,wheat,131,141,118,173,547453.9276,3859802.548
4,wheat,133,142,118,175,547455.3664,3859788.62
4,wheat,138,153,130,175,547499.7872,3859733.771
4,wheat,134,141,123,170,547432.5733,3859797.969
4,wheat,134,143,124,175,547383.5396,3859821.365
4,wheat,133,148,126,178,547384.9477,3859820.148
4,wheat,133,142,119,171,547465.646,3859759.272
4,wheat,137,145,122,173,547362.4652,3859757.376
4,wheat,141,147,122,169,547432.1335,3859782.193
4,wheat,127,139,118,174,547425.1085,3859811.958
4,wheat,133,140,121,174,547377.3518,3859789.587
4,wheat,132,144,120,171,547376.6598,3859749.842
4,wheat,127,138,115,167,547425.1728,3859762.432
4,wheat,131,136,118,170,547414.4442,3859802.5
4,wheat,139,140,117,166,547387.8666,3859812.05
4,wheat,134,143,128,183,547461.2984,3859722.463
4,wheat,142,148,124,170,547397.2731,3859790.729
4,wheat,137,146,123,174,547341.3619,3859748.79
4,wheat,143,151,125,172,547480.2828,3859733.534
4,wheat,140,151,124,174,547422.84,3859754.144
4,wheat,153,168,141,196,547437.0903,3859727.191
4,wheat,129,141,117,174,547424.1575,3859776.856
4,wheat,134,145,119,177,547349.564,3859746.593
4,wheat,137,143,120,170,547493.3599,3859755.588
4,wheat,125,139,117,172,547439.5894,3859807.682
4,wheat,135,143,120,173,547512.8752,3859730.285
4,wheat,129,138,116,171,547520.1312,3859749.53
4,wheat,134,144,119,170,547389.6854,3859801.993
4,wheat,115,124,112,183,547423.8127,3859724.155
4,wheat,143,144,118,167,547464.0284,3859736.608
4,wheat,158,182,146,202,547461.3028,3859729.025
4,wheat,136,142,120,168,547495.7632,3859753.516
4,wheat,136,145,123,172,547400.4053,3859777.247
